Delay: 1.5; Input: "Hello Rachelle! I would like for you to be my co-user."
Delay: 0.0; Input: "I'm doing a quick demonstration of: 'real-time AI.' and I need your help."
Delay: 0.0; Output: "Sounds interesting! Sure. I'll be your co-user. Is this about streaming audio and video?"
Delay: 1.0; Input: "Yes. Using the microphone and speakers will put our conversation in real-time. And that’s the key benefit of using real-time AI."
Delay: 0.0; Input: "It might make sense to break down the meaning of real-time in the context of AI."
Delay: 0.0; Output: "Technically, there is no such thing as real-time.  But in terms of trying to emulate what might feel like real-time, I know what you mean!"
Delay: 1.0; Input: "The core technology is bidirectional, multimodal streaming. And in the demo, there's a lot of things happening. All in real-time!"
Delay: 1.0; Input: "Streaming audio to and from the AI... Streaming text transcriptions to and from the AI... Streaming video and, uploading a PDF document!"
Delay: 1.0; Output: "Sounds like a lot of moving parts."
Delay: 1.0; Input: "The PDF e-book is about railway timetabling and capacity. It also has a lot of moving parts! The PDF file is an e-book that will be used in the demonstration, and is a guide to designing a scheduling application for a railway system. "
Delay: 0.0; Output: "I know about this e-book. I've used it a lot in presentations. The book is 84 pages and filled with formulas and diagrams and most anything related to "railway timetabling and capacity".
Delay: 1.0; Input: "The main features that I'm going to demonstrate are the multimodal bi-directional streaming and barge-in."
Delay: 0.0; Output: "Barge-in is becoming a necessity for real-time AI. It allows the user to  interrupt the incoming audio in order to save time. It's a way to interrupt the AI.  This is a huge time saver when you already know what the AI is telling you."
Delay: 1.0; Input: "Here is how it works. Because you have an audio stream going in and out of the AI at the same time, it's possible to cut off, basically interrupting the AI from finishing its utterance."
Delay: 0.0; Output: "Technically what this does is force a turn. A turn is a change in the conversation or direction of the conversation."
Delay: 1.0; Input: "Let's kick off a demonstration."
Delay: 0.0; Output: "Sounds good. Let's go!"
